file	theorem	facts
GeoTop_Prefix_S2_simple_closed_curve_component_frontiers_eq_1.p	GeoTop_Prefix.S2_simple_closed_curve_component_frontiers_eq_1	64
GeoTop_Prefix_S2_simple_closed_curve_component_frontiers_eq_2.p	GeoTop_Prefix.S2_simple_closed_curve_component_frontiers_eq_2	64
GeoTopBase0_geotop_simplicial_polyhedron_eq_cell_polyhedron.p	GeoTopBase0.geotop_simplicial_polyhedron_eq_cell_polyhedron	64
GeoTopBase_top1_path_connected_on_geotop_imp_path_connected.p	GeoTopBase.top1_path_connected_on_geotop_imp_path_connected	64
GeoTopBase_top1_homeomorphism_on_UNIV_imp_HOL_homeomorphism.p	GeoTopBase.top1_homeomorphism_on_UNIV_imp_HOL_homeomorphism	64
GeoTopBase_path_connected_imp_top1_path_connected_on_geotop.p	GeoTopBase.path_connected_imp_top1_path_connected_on_geotop	64
GeoTop_Prefix_geotop_two_arcs_R2_to_S2_frontier_components.p	GeoTop_Prefix.geotop_two_arcs_R2_to_S2_frontier_components	64
GeoTop_Prefix_geotop_theta_graph_R2_to_S2_three_components.p	GeoTop_Prefix.geotop_theta_graph_R2_to_S2_three_components	64
GeoTop_Prefix_geotop_polygon_interior_is_bounded_component.p	GeoTop_Prefix.geotop_polygon_interior_is_bounded_component	64
GeoTop_Prefix_S2_simple_closed_curve_component_frontier_eq.p	GeoTop_Prefix.S2_simple_closed_curve_component_frontier_eq	64
GeoTopBase0_geotop_complex_polyhedron_point_carrier_unique.p	GeoTopBase0.geotop_complex_polyhedron_point_carrier_unique	64
GeoTopBase0_geotop_complex_flags_with_top_in_finite_finite.p	GeoTopBase0.geotop_complex_flags_with_top_in_finite_finite	64
GeoTopBase0_geotop_cell_complex_has_simplicial_subdivision.p	GeoTopBase0.geotop_cell_complex_has_simplicial_subdivision	64
GeoTopBase_top1_continuous_map_on_geotop_imp_continuous_on.p	GeoTopBase.top1_continuous_map_on_geotop_imp_continuous_on	64
GeoTopBase_geotop_continuous_on_imp_top1_continuous_map_on.p	GeoTopBase.geotop_continuous_on_imp_top1_continuous_map_on	64
GeoTopBase_geotop_complex_connected_imp_HOL_path_connected.p	GeoTopBase.geotop_complex_connected_imp_HOL_path_connected	64
GeoTop_punctured_circle_component_closure_of_deleted_point.p	GeoTop.punctured_circle_component_closure_of_deleted_point	64
GeoTop_Prefix_geotop_arc_endpoints_imp_top1_arc_endpoints.p	GeoTop_Prefix.geotop_arc_endpoints_imp_top1_arc_endpoints	64
GeoTop_Prefix_S2_simple_closed_curve_component_closure_eq.p	GeoTop_Prefix.S2_simple_closed_curve_component_closure_eq	64
GeoTopBase0_geotop_overlay_triangulation_subdivides_right.p	GeoTopBase0.geotop_overlay_triangulation_subdivides_right	64
GeoTopBase0_geotop_complex_rel_interior_disjoint_distinct.p	GeoTopBase0.geotop_complex_rel_interior_disjoint_distinct	64
GeoTopBase0_geotop_chain_simplex_intersection_common_cell.p	GeoTopBase0.geotop_chain_simplex_intersection_common_cell	64
GeoTopBase_connected_open_disjoint_from_line_in_halfplane.p	GeoTopBase.connected_open_disjoint_from_line_in_halfplane	64
GeoTopBase0_geotop_overlay_triangulation_subdivides_left.p	GeoTopBase0.geotop_overlay_triangulation_subdivides_left	64
GeoTopBase0_geotop_complex_simplex_rel_interior_nonempty.p	GeoTopBase0.geotop_complex_simplex_rel_interior_nonempty	64
GeoTopBase0_geotop_chain_simplex_butlast_in_rel_frontier.p	GeoTopBase0.geotop_chain_simplex_butlast_in_rel_frontier	64
GeoTopBase_geotop_disjoint_subcomplex_polyhedra_disjoint.p	GeoTopBase.geotop_disjoint_subcomplex_polyhedra_disjoint	64
GeoTop_punctured_circle_two_points_homeomorphic_real_cut.p	GeoTop.punctured_circle_two_points_homeomorphic_real_cut	64
GeoTop_Prefix_top1_frontier_component_of_geotop_1sphere.p	GeoTop_Prefix.top1_frontier_component_of_geotop_1sphere	64
GeoTop_Prefix_theta_graph_complement_has_two_components.p	GeoTop_Prefix.theta_graph_complement_has_two_components	64
GeoTop_Prefix_onedim_simplex_with_two_endpoints_eq_hull.p	GeoTop_Prefix.onedim_simplex_with_two_endpoints_eq_hull	62
GeoTop_Prefix_is_limit_point_of_UNIV_geotop_iff_islimpt.p	GeoTop_Prefix.is_limit_point_of_UNIV_geotop_iff_islimpt	64
GeoTopBase0_geotop_open_star_eq_carrier_contains_vertex.p	GeoTopBase0.geotop_open_star_eq_carrier_contains_vertex	64
GeoTopBase0_geotop_complex_simplex_closure_rel_interior.p	GeoTopBase0.geotop_complex_simplex_closure_rel_interior	64
GeoTopBase0_geotop_complex_point_in_unique_rel_interior.p	GeoTopBase0.geotop_complex_point_in_unique_rel_interior	64
GeoTop_Prefix_geotop_euclidean_topology_UNIV_hausdorff.p	GeoTop_Prefix.geotop_euclidean_topology_UNIV_hausdorff	64
GeoTopBase0_geotop_simplicial_complex_imp_cell_complex.p	GeoTopBase0.geotop_simplicial_complex_imp_cell_complex	64
GeoTopBase0_geotop_K_carrier_subset_containing_simplex.p	GeoTopBase0.geotop_K_carrier_subset_containing_simplex	64
GeoTopBase_top1_path_connected_on_geotop_imp_connected.p	GeoTopBase.top1_path_connected_on_geotop_imp_connected	64
GeoTopBase_geotop_broken_lines_glue_disjoint_endpoints.p	GeoTopBase.geotop_broken_lines_glue_disjoint_endpoints	64
GeoTopBase_geotop_V_subK_convhullK_is_simplex_vertices.p	GeoTopBase.geotop_V_subK_convhullK_is_simplex_vertices	64
GeoTop_closed_segment_radial_projection_preimage_local.p	GeoTop.closed_segment_radial_projection_preimage_local	64
GeoTop_Prefix_segment_face_with_endpoint_and_extra_eq.p	GeoTop_Prefix.segment_face_with_endpoint_and_extra_eq	64
GeoTop_Prefix_polygon_interior_union_subset_connected.p	GeoTop_Prefix.polygon_interior_union_subset_connected	64
GeoTop_Prefix_continuous_on_circle_path_R2_components_1.p	GeoTop_Prefix.continuous_on_circle_path_R2_components_1	64
GeoTop_Prefix_continuous_on_circle_path_R2_components_2.p	GeoTop_Prefix.continuous_on_circle_path_R2_components_2	64
GeoTopBase0_geotop_overlay_complex_closed_under_faces.p	GeoTopBase0.geotop_overlay_complex_closed_under_faces	64
GeoTopBase0_geotop_iterated_Sd_simplex_V_in_K_simplex.p	GeoTopBase0.geotop_iterated_Sd_simplex_V_in_K_simplex	64
GeoTopBase0_geotop_cell_flag_barycenters_affine_indep.p	GeoTopBase0.geotop_cell_flag_barycenters_affine_indep	64
GeoTopBase_geotop_1dim_vertex_in_1simplex_is_endpoint.p	GeoTopBase.geotop_1dim_vertex_in_1simplex_is_endpoint	64
GeoTopBase_broken_line_internal_vertex_card_edges_ge2.p	GeoTopBase.broken_line_internal_vertex_card_edges_ge2	64
GeoTopBase_ball_intersect_aff_hull_segment_in_segment.p	GeoTopBase.ball_intersect_aff_hull_segment_in_segment	64
GeoTop_real_cut_homeomorphic_component_cover_if_split.p	GeoTop.real_cut_homeomorphic_component_cover_if_split	64
GeoTop_Prefix_theta_graph_unique_unbounded_component.p	GeoTop_Prefix.theta_graph_unique_unbounded_component	64
GeoTop_Prefix_theta_graph_unbounded_in_pair_exterior.p	GeoTop_Prefix.theta_graph_unbounded_in_pair_exterior	64
GeoTop_Prefix_subspace_topology_S2_minus_north_trans.p	GeoTop_Prefix.subspace_topology_S2_minus_north_trans	64
GeoTop_Prefix_pair_of_arcs_image_homeomorphic_sphere.p	GeoTop_Prefix.pair_of_arcs_image_homeomorphic_sphere	64
GeoTop_Prefix_R2_to_S2_geotop_arc_top1_arc_endpoints.p	GeoTop_Prefix.R2_to_S2_geotop_arc_top1_arc_endpoints	64
GeoTopBase0_geotop_overlay_complex_covers_each_right.p	GeoTopBase0.geotop_overlay_complex_covers_each_right	64
GeoTopBase0_geotop_order_complex_induced_subdivision.p	GeoTopBase0.geotop_order_complex_induced_subdivision	64
GeoTopBase0_geotop_finite_subset_simplex_hull_subset.p	GeoTopBase0.geotop_finite_subset_simplex_hull_subset	64
GeoTopBase0_geotop_finite_distinct_lists_over_finite.p	GeoTopBase0.geotop_finite_distinct_lists_over_finite	64
GeoTopBase0_geotop_cell_flag_init_barycenters_in_top.p	GeoTopBase0.geotop_cell_flag_init_barycenters_in_top	64
GeoTopBase_geotop_simplex_dim_le_1_empty_interior_R2.p	GeoTopBase.geotop_simplex_dim_le_1_empty_interior_R2	64
GeoTopBase_geotop_complex_restrict_subset_is_complex.p	GeoTopBase.geotop_complex_restrict_subset_is_complex	64
GeoTop_Prefix_theta_arc_in_one_side_of_pair_polygon.p	GeoTop_Prefix.theta_arc_in_one_side_of_pair_polygon	64
GeoTop_Prefix_geotop_euclidean_topology_UNIV_strict.p	GeoTop_Prefix.geotop_euclidean_topology_UNIV_strict	64
GeoTop_Prefix_compact_polyhedron_imp_finite_complex.p	GeoTop_Prefix.compact_polyhedron_imp_finite_complex	64
GeoTopBase0_geotop_overlay_complex_covers_each_left.p	GeoTopBase0.geotop_overlay_complex_covers_each_left	64
GeoTopBase0_geotop_iterated_Sd_simplex_in_K_simplex.p	GeoTopBase0.geotop_iterated_Sd_simplex_in_K_simplex	64
GeoTopBase0_geotop_complex_polyhedron_point_carrier.p	GeoTopBase0.geotop_complex_polyhedron_point_carrier	64
GeoTopBase0_geotop_bary_lin_inj_image_superset_hull.p	GeoTopBase0.geotop_bary_lin_inj_image_superset_hull	64
GeoTopBase_simplex_dim_1_homeomorphic_unit_interval.p	GeoTopBase.simplex_dim_1_homeomorphic_unit_interval	64
GeoTopBase_geotop_convex_open_broken_line_connected.p	GeoTopBase.geotop_convex_open_broken_line_connected	64
GeoTopBase_geotop_ball_avoids_closed_not_containing.p	GeoTopBase.geotop_ball_avoids_closed_not_containing	64
GeoTopBase_ball_minus_hyperplane_has_two_components.p	GeoTopBase.ball_minus_hyperplane_has_two_components	64
GeoTop_same_component_real_complement_singleton_iff.p	GeoTop.same_component_real_complement_singleton_iff	64
GeoTop_finite_components_real_complement_two_points.p	GeoTop.finite_components_real_complement_two_points	64
GeoTop_connected_closure_point_meets_sphere_between.p	GeoTop.connected_closure_point_meets_sphere_between	64
GeoTop_Prefix_geotop_polygon_exterior_is_component.p	GeoTop_Prefix.geotop_polygon_exterior_is_component	64
GeoTop_Prefix_R2_to_S2_image_subset_S2_minus_north.p	GeoTop_Prefix.R2_to_S2_image_subset_S2_minus_north	64
GeoTop_Prefix_R2_S2_minus_north_homeomorphism_UNIV.p	GeoTop_Prefix.R2_S2_minus_north_homeomorphism_UNIV	64
GeoTopBase0_geotop_subdivision_of_finite_is_finite.p	GeoTopBase0.geotop_subdivision_of_finite_is_finite	64
GeoTopBase0_geotop_overlay_complex_is_cell_complex.p	GeoTopBase0.geotop_overlay_complex_is_cell_complex	64
GeoTopBase0_geotop_order_complex_polyhedron_supset.p	GeoTopBase0.geotop_order_complex_polyhedron_supset	64
GeoTopBase0_geotop_order_complex_polyhedron_subset.p	GeoTopBase0.geotop_order_complex_polyhedron_subset	64
GeoTopBase0_geotop_linear_inj_image_preserves_face.p	GeoTopBase0.geotop_linear_inj_image_preserves_face	64
GeoTopBase0_geotop_euclidean_topology_eq_open_sets.p	GeoTopBase0.geotop_euclidean_topology_eq_open_sets	64
GeoTopBase0_geotop_complex_vertices_eq_0_simplexes.p	GeoTopBase0.geotop_complex_vertices_eq_0_simplexes	64
GeoTopBase0_geotop_complex_rel_interior_imp_subset.p	GeoTopBase0.geotop_complex_rel_interior_imp_subset	64
GeoTopBase0_geotop_complex_flags_at_simplex_finite.p	GeoTopBase0.geotop_complex_flags_at_simplex_finite	64
GeoTopBase0_geotop_cell_barycenter_in_rel_interior.p	GeoTopBase0.geotop_cell_barycenter_in_rel_interior	64
GeoTopBase_top1_connected_complement_of_geotop_arc.p	GeoTopBase.top1_connected_complement_of_geotop_arc	64
GeoTopBase_path_avoid_hyperplane_constant_sign_pos.p	GeoTopBase.path_avoid_hyperplane_constant_sign_pos	64
GeoTopBase_geotop_subdivide_edge_sigma_cap_e_cases.p	GeoTopBase.geotop_subdivide_edge_sigma_cap_e_cases	64
GeoTopBase_geotop_inner_diff_inj_on_closed_segment.p	GeoTopBase.geotop_inner_diff_inj_on_closed_segment	64
GeoTopBase_geotop_arc_preimage_simplex_is_interval.p	GeoTopBase.geotop_arc_preimage_simplex_is_interval	64
GeoTopBase_geotop_AI_finite_ne_is_simplex_vertices.p	GeoTopBase.geotop_AI_finite_ne_is_simplex_vertices	64
GeoTop_Prefix_theta_graph_has_unbounded_component.p	GeoTop_Prefix.theta_graph_has_unbounded_component	64
GeoTop_Prefix_geotop_polygon_finite_triangulation.p	GeoTop_Prefix.geotop_polygon_finite_triangulation	64
GeoTop_Prefix_broken_line_local_simplex_isolation.p	GeoTop_Prefix.broken_line_local_simplex_isolation	64
GeoTopBase0_geotop_mesh_iterated_Sd_tends_to_zero.p	GeoTopBase0.geotop_mesh_iterated_Sd_tends_to_zero	64
GeoTopBase0_geotop_linear_inj_image_face_preimage.p	GeoTopBase0.geotop_linear_inj_image_face_preimage	64
GeoTopBase0_geotop_general_position_imp_aff_indep.p	GeoTopBase0.geotop_general_position_imp_aff_indep	64
GeoTopBase0_geotop_complex_proper_subset_dim_less.p	GeoTopBase0.geotop_complex_proper_subset_dim_less	64
GeoTopBase0_geotop_complex_chain_barycenter_bound.p	GeoTopBase0.geotop_complex_chain_barycenter_bound	64
GeoTopBase0_geotop_K_carrier_self_in_rel_interior.p	GeoTopBase0.geotop_K_carrier_self_in_rel_interior	64
GeoTopBase_top1_connected_on_geotop_iff_connected.p	GeoTopBase.top1_connected_on_geotop_iff_connected	64
GeoTopBase_geotop_open_ball_broken_line_connected.p	GeoTopBase.geotop_open_ball_broken_line_connected	64
GeoTopBase_geotop_inner_diff_image_closed_segment.p	GeoTopBase.geotop_inner_diff_image_closed_segment	64
GeoTopBase_geotop_hyperplane_dim_1_R2_normal_form.p	GeoTopBase.geotop_hyperplane_dim_1_R2_normal_form	64
GeoTopBase_geotop_homeomorphism_segment_endpoints.p	GeoTopBase.geotop_homeomorphism_segment_endpoints	64
GeoTopBase_geotop_complex_subdivide_edge_interior.p	GeoTopBase.geotop_complex_subdivide_edge_interior	64
GeoTopBase_geotop_complex_restrict_preserves_1dim.p	GeoTopBase.geotop_complex_restrict_preserves_1dim	64
GeoTopBase_geotop_closed_segment_simplex_vertices.p	GeoTopBase.geotop_closed_segment_simplex_vertices	64
GeoTopBase_geotop_closed_segment_is_face_endpoint.p	GeoTopBase.geotop_closed_segment_is_face_endpoint	64
GeoTopBase_geotop_arc_1simplex_preimage_structure.p	GeoTopBase.geotop_arc_1simplex_preimage_structure	64
GeoTopBase_clopen_connected_subspace_eq_component.p	GeoTopBase.clopen_connected_subspace_eq_component	64
GeoTop_Prefix_polygon_interior_exterior_disjoint.p	GeoTop_Prefix.polygon_interior_exterior_disjoint	64
GeoTop_Prefix_broken_line_endpoint_local_segment.p	GeoTop_Prefix.broken_line_endpoint_local_segment	64
GeoTopBase0_geotop_subdivision_simplex_in_parent.p	GeoTopBase0.geotop_subdivision_simplex_in_parent	64
GeoTopBase0_geotop_simplex_rel_interior_nonempty.p	GeoTopBase0.geotop_simplex_rel_interior_nonempty	64
GeoTopBase0_geotop_overlay_complex_refines_right.p	GeoTopBase0.geotop_overlay_complex_refines_right	64
GeoTopBase0_geotop_overlay_complex_pairwise_face.p	GeoTopBase0.geotop_overlay_complex_pairwise_face	64
GeoTopBase0_geotop_order_complex_is_cell_complex.p	GeoTopBase0.geotop_order_complex_is_cell_complex	64
GeoTopBase0_geotop_closed_star_subset_polyhedron.p	GeoTopBase0.geotop_closed_star_subset_polyhedron	64
GeoTopBase0_geotop_chain_simplex_vertices_in_top.p	GeoTopBase0.geotop_chain_simplex_vertices_in_top	64
GeoTopBase0_geotop_chain_simplex_open_star_inter.p	GeoTopBase0.geotop_chain_simplex_open_star_inter	64
GeoTopBase0_geotop_cell_flag_barycenter_distinct.p	GeoTopBase0.geotop_cell_flag_barycenter_distinct	64
GeoTopBase0_geotop_K_carrier_shared_rel_interior.p	GeoTopBase0.geotop_K_carrier_shared_rel_interior	64
GeoTopBase_homeomorphism_UNIV_image_interior_alt.p	GeoTopBase.homeomorphism_UNIV_image_interior_alt	64
GeoTopBase_homeomorphism_UNIV_image_frontier_alt.p	GeoTopBase.homeomorphism_UNIV_image_frontier_alt	64
GeoTopBase_geotop_simplex_dim_imp_hyperplane_dim.p	GeoTopBase.geotop_simplex_dim_imp_hyperplane_dim	64
GeoTopBase_geotop_V_subK_elt_in_simplex_vertices.p	GeoTopBase.geotop_V_subK_elt_in_simplex_vertices	64
GeoTopBase_geotop_1dim_vertex_in_simplex_is_face.p	GeoTopBase.geotop_1dim_vertex_in_simplex_is_face	64
GeoTop_punctured_circle_component_cover_if_split.p	GeoTop.punctured_circle_component_cover_if_split	64
GeoTop_closed_segment_radial_subsegment_preimage.p	GeoTop.closed_segment_radial_subsegment_preimage	64
GeoTop_closed_segment_radial_projection_preimage.p	GeoTop.closed_segment_radial_projection_preimage	64
GeoTop_Prefix_theta_graph_has_bounded_component.p	GeoTop_Prefix.theta_graph_has_bounded_component	64
GeoTop_Prefix_simple_path_compose_homeomorphism.p	GeoTop_Prefix.simple_path_compose_homeomorphism	64
GeoTop_Prefix_polygon_interior_is_HOL_component.p	GeoTop_Prefix.polygon_interior_is_HOL_component	64
GeoTop_Prefix_polygon_interior_disjoint_polygon.p	GeoTop_Prefix.polygon_interior_disjoint_polygon	64
GeoTop_Prefix_polygon_exterior_is_HOL_component.p	GeoTop_Prefix.polygon_exterior_is_HOL_component	64
GeoTop_Prefix_polygon_exterior_disjoint_polygon.p	GeoTop_Prefix.polygon_exterior_disjoint_polygon	64
GeoTop_Prefix_geotop_arc_endpoints_imp_top1_arc.p	GeoTop_Prefix.geotop_arc_endpoints_imp_top1_arc	64
GeoTopBase0_geotop_simplex_closure_rel_interior.p	GeoTopBase0.geotop_simplex_closure_rel_interior	64
GeoTopBase0_geotop_overlay_complex_refines_left.p	GeoTopBase0.geotop_overlay_complex_refines_left	64
GeoTopBase0_geotop_open_star_subset_closed_star.p	GeoTopBase0.geotop_open_star_subset_closed_star	64
GeoTopBase0_geotop_convex_in_complex_in_simplex.p	GeoTopBase0.geotop_convex_in_complex_in_simplex	64
GeoTopBase0_geotop_complex_flag_barycenter_card.p	GeoTopBase0.geotop_complex_flag_barycenter_card	64
GeoTopBase0_geotop_chain_simplex_carrier_in_set.p	GeoTopBase0.geotop_chain_simplex_carrier_in_set	64
GeoTopBase0_geotop_cell_complex_subset_imp_face.p	GeoTopBase0.geotop_cell_complex_subset_imp_face	64
GeoTopBase0_geotop_cell_complex_psubset_aff_dim.p	GeoTopBase0.geotop_cell_complex_psubset_aff_dim	64
GeoTopBase0_geotop_cell_complex_carrier_in_cell.p	GeoTopBase0.geotop_cell_complex_carrier_in_cell	64
GeoTopBase0_geotop_bary_in_rel_interior_support.p	GeoTopBase0.geotop_bary_in_rel_interior_support	64
GeoTopBase_homeomorphism_UNIV_image_closure_alt.p	GeoTopBase.homeomorphism_UNIV_image_closure_alt	64
GeoTopBase_geotop_subdivide_edge_singleton_ne_e.p	GeoTopBase.geotop_subdivide_edge_singleton_ne_e	64
GeoTopBase_geotop_subdivide_edge_locfin_inherit.p	GeoTopBase.geotop_subdivide_edge_locfin_inherit	64
GeoTopBase_geotop_straight_line_path_continuous.p	GeoTopBase.geotop_straight_line_path_continuous	64
GeoTopBase_geotop_isomorphic_induces_PLH_strong.p	GeoTopBase.geotop_isomorphic_induces_PLH_strong	64
GeoTopBase_geotop_complex_subdivide_edge_vertex.p	GeoTopBase.geotop_complex_subdivide_edge_vertex	64
GeoTopBase_geotop_closed_segment_is_broken_line.p	GeoTopBase.geotop_closed_segment_is_broken_line	64
GeoTopBase_component_eq_connected_component_set.p	GeoTopBase.component_eq_connected_component_set	64
GeoTop_geotop_hyperplane_dim_imp_affine_aff_dim.p	GeoTop.geotop_hyperplane_dim_imp_affine_aff_dim	64
GeoTop_closed_segment_sphere_unique_from_center.p	GeoTop.closed_segment_sphere_unique_from_center	64
GeoTop_Prefix_theta_two_middle_arcs_contradict.p	GeoTop_Prefix.theta_two_middle_arcs_contradict	64
GeoTop_Prefix_theta_arc_interior_isolated_ball.p	GeoTop_Prefix.theta_arc_interior_isolated_ball	64
GeoTop_Prefix_polyhedral_theta_graph_imp_theta.p	GeoTop_Prefix.polyhedral_theta_graph_imp_theta	64
GeoTop_Prefix_nondegenerate_segment_meets_ball.p	GeoTop_Prefix.nondegenerate_segment_meets_ball	64
GeoTop_Prefix_geotop_polygon_components_set_eq.p	GeoTop_Prefix.geotop_polygon_components_set_eq	64
GeoTop_Prefix_component_of_open_path_connected.p	GeoTop_Prefix.component_of_open_path_connected	64
GeoTopBase0_geotop_overlay_complex_elt_is_cell.p	GeoTopBase0.geotop_overlay_complex_elt_is_cell	64
GeoTopBase0_geotop_overlay_cells_refines_right.p	GeoTopBase0.geotop_overlay_cells_refines_right	64
GeoTopBase0_geotop_order_complex_pairwise_face.p	GeoTopBase0.geotop_order_complex_pairwise_face	64
GeoTopBase0_geotop_open_star_inter_simplex_iff.p	GeoTopBase0.geotop_open_star_inter_simplex_iff	64
GeoTopBase0_geotop_linear_inj_image_is_simplex.p	GeoTopBase0.geotop_linear_inj_image_is_simplex	64
GeoTopBase0_geotop_closed_star_contains_vertex.p	GeoTopBase0.geotop_closed_star_contains_vertex	64
GeoTopBase_geotop_subdivide_edge_vertices_in_K.p	GeoTopBase.geotop_subdivide_edge_vertices_in_K	64
GeoTopBase_geotop_subdivide_edge_polyhedron_eq.p	GeoTopBase.geotop_subdivide_edge_polyhedron_eq	64
GeoTopBase_finite_union_closed_local_isolation.p	GeoTopBase.finite_union_closed_local_isolation	64
GeoTopBase_arc_interior_relatively_open_in_arc.p	GeoTopBase.arc_interior_relatively_open_in_arc	64
GeoTop_pair_polygon_circle_side_classification.p	GeoTop.pair_polygon_circle_side_classification	64
GeoTop_component_lies_in_component_of_superset.p	GeoTop.component_lies_in_component_of_superset	64
GeoTop_Prefix_polyhedral_theta_graph_imp_bl_3.p	GeoTop_Prefix.polyhedral_theta_graph_imp_bl_3	64
GeoTop_Prefix_polyhedral_theta_graph_imp_bl_2.p	GeoTop_Prefix.polyhedral_theta_graph_imp_bl_2	64
GeoTop_Prefix_polyhedral_theta_graph_imp_bl_1.p	GeoTop_Prefix.polyhedral_theta_graph_imp_bl_1	64
GeoTop_Prefix_geotop_subspace_topology_strict.p	GeoTop_Prefix.geotop_subspace_topology_strict	64
GeoTop_Prefix_geotop_components_complement_eq.p	GeoTop_Prefix.geotop_components_complement_eq	64
GeoTop_Prefix_arc_interior_disjoint_other_arc.p	GeoTop_Prefix.arc_interior_disjoint_other_arc	64
GeoTop_Prefix_S2_two_arcs_frontier_components.p	GeoTop_Prefix.S2_two_arcs_frontier_components	64
GeoTop_Prefix_R2_to_C_vimage_eq_C_to_R2_image.p	GeoTop_Prefix.R2_to_C_vimage_eq_C_to_R2_image	64
GeoTop_Prefix_R2_pair_top1_homeomorphism_UNIV.p	GeoTop_Prefix.R2_pair_top1_homeomorphism_UNIV	64
GeoTop_Prefix_C_to_R2_vimage_eq_R2_to_C_image.p	GeoTop_Prefix.C_to_R2_vimage_eq_R2_to_C_image	64
GeoTopBase0_geotop_subdivision_covers_simplex.p	GeoTopBase0.geotop_subdivision_covers_simplex	64
GeoTopBase0_geotop_simplex_vertices_singleton.p	GeoTopBase0.geotop_simplex_vertices_singleton	64
GeoTopBase0_geotop_simplex_to_open_star_inter.p	GeoTopBase0.geotop_simplex_to_open_star_inter	64
GeoTopBase0_geotop_simplex_face_imp_cell_face.p	GeoTopBase0.geotop_simplex_face_imp_cell_face	64
GeoTopBase0_geotop_overlay_cells_refines_left.p	GeoTopBase0.geotop_overlay_cells_refines_left	64
GeoTopBase0_geotop_open_star_open_in_subspace.p	GeoTopBase0.geotop_open_star_open_in_subspace	64
GeoTopBase0_geotop_open_star_inter_to_simplex.p	GeoTopBase0.geotop_open_star_inter_to_simplex	64
GeoTopBase0_geotop_iterated_Sd_is_subdivision.p	GeoTopBase0.geotop_iterated_Sd_is_subdivision	64
GeoTopBase0_geotop_complex_polyhedron_compact.p	GeoTopBase0.geotop_complex_polyhedron_compact	64
GeoTopBase0_geotop_complex_polyhedron_bounded.p	GeoTopBase0.geotop_complex_polyhedron_bounded	64
GeoTopBase0_geotop_chain_simplex_inter_subset.p	GeoTopBase0.geotop_chain_simplex_inter_subset	64
GeoTopBase0_geotop_chain_hull_in_rel_frontier.p	GeoTopBase0.geotop_chain_hull_in_rel_frontier	64
GeoTopBase0_geotop_barycenter_to_vertex_bound.p	GeoTopBase0.geotop_barycenter_to_vertex_bound	64
GeoTopBase0_geotop_barycenter_in_rel_interior.p	GeoTopBase0.geotop_barycenter_in_rel_interior	64
